"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971-04","British Columbia","2016A000259","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731427","13.2.6.1","9497","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Total units","Unadjusted","Units","300","units","0","v732320","13.3.1.1","6993","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732331","13.3.2.1","3398","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732375","13.3.4.1","3595","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732342","13.3.3.1","203","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Row","Unadjusted","Units","300","units","0","v732353","13.3.5.1","312","","","","0"
"1971-04","British Columbia","2016A000259","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732364","13.3.6.1","3080","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Total units","Unadjusted","Units","300","units","0","v730416","1.1.1.1","70180","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730427","1.1.1.2","244.0","","","t","1"
"1971-07","Canada","2016A000011124","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730442","1.1.2.1","30587","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730486","1.1.4.1","39593","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730453","1.1.3.1","4121","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Row","Unadjusted","Units","300","units","0","v730464","1.1.5.1","4417","","","","0"
"1971-07","Canada","2016A000011124","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730475","1.1.6.1","31055","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731381","1.2.1.1","172479","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731392","1.2.2.1","49260","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731436","1.2.4.1","123219","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731403","1.2.3.1","7654","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Row","Unadjusted","Units","300","units","0","v731414","1.2.5.1","12605","","","","0"
"1971-07","Canada","2016A000011124","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731425","1.2.6.1","102960","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Total units","Unadjusted","Units","300","units","0","v732318","1.3.1.1","55308","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732329","1.3.2.1","23980","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732373","1.3.4.1","31328","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732340","1.3.3.1","3621","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Row","Unadjusted","Units","300","units","0","v732351","1.3.5.1","5353","","","","0"
"1971-07","Canada","2016A000011124","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732362","1.3.6.1","22354","","","","0"
"1971-07","Atlantic provinces","2016A00011","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730428","2.1.1.2","16.7","","","t","1"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","1140","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730429","3.1.1.2","2.9","","","t","1"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","936","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","204","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","94","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","14","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730476","3.1.6.1","96","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731382","3.2.1.1","3243","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731393","3.2.2.1","2343","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731437","3.2.4.1","900","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731404","3.2.3.1","256","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Row","Unadjusted","Units","300","units","0","v731415","3.2.5.1","280","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731426","3.2.6.1","364","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Total units","Unadjusted","Units","300","units","0","v732319","3.3.1.1","689","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732330","3.3.2.1","641","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732374","3.3.4.1","48","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732341","3.3.3.1","34","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Row","Unadjusted","Units","300","units","0","v732352","3.3.5.1","14","","","","0"
"1971-07","Newfoundland and Labrador","2016A000210","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732363","3.3.6.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Total units","Unadjusted","Units","300","units","0","v730419","4.1.1.1","418","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730430","4.1.1.2","0.8","","","t","1"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730445","4.1.2.1","412","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730489","4.1.4.1","6","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730456","4.1.3.1","6","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Row","Unadjusted","Units","300","units","0","v730467","4.1.5.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730478","4.1.6.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731384","4.2.1.1","807","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731395","4.2.2.1","781","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731439","4.2.4.1","26","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731406","4.2.3.1","19","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Row","Unadjusted","Units","300","units","0","v731417","4.2.5.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731428","4.2.6.1","7","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Total units","Unadjusted","Units","300","units","0","v732321","4.3.1.1","301","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732332","4.3.2.1","231","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732376","4.3.4.1","70","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732343","4.3.3.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Row","Unadjusted","Units","300","units","0","v732354","4.3.5.1","0","","","","0"
"1971-07","Prince Edward Island","2016A000211","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732365","4.3.6.1","70","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Total units","Unadjusted","Units","300","units","0","v730420","5.1.1.1","2309","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730431","5.1.1.2","7.1","","","t","1"
"1971-07","Nova Scotia","2016A000212","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730446","5.1.2.1","1440","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730490","5.1.4.1","869","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730457","5.1.3.1","55","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Row","Unadjusted","Units","300","units","0","v730468","5.1.5.1","159","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730479","5.1.6.1","655","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731385","5.2.1.1","6510","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731396","5.2.2.1","3582","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731440","5.2.4.1","2928","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731407","5.2.3.1","153","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Row","Unadjusted","Units","300","units","0","v731418","5.2.5.1","205","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731429","5.2.6.1","2570","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Total units","Unadjusted","Units","300","units","0","v732322","5.3.1.1","1829","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732333","5.3.2.1","1085","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732377","5.3.4.1","744","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732344","5.3.3.1","95","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Row","Unadjusted","Units","300","units","0","v732355","5.3.5.1","104","","","","0"
"1971-07","Nova Scotia","2016A000212","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732366","5.3.6.1","545","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","1838","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730432","6.1.1.2","5.9","","","t","1"
"1971-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","1295","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","543","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","133","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Row","Unadjusted","Units","300","units","0","v730469","6.1.5.1","46","","","","0"
"1971-07","New Brunswick","2016A000213","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730480","6.1.6.1","364","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731386","6.2.1.1","3398","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731397","6.2.2.1","1911","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731441","6.2.4.1","1487","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731408","6.2.3.1","183","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Row","Unadjusted","Units","300","units","0","v731419","6.2.5.1","92","","","","0"
"1971-07","New Brunswick","2016A000213","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731430","6.2.6.1","1212","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Total units","Unadjusted","Units","300","units","0","v732323","6.3.1.1","917","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732334","6.3.2.1","643","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732378","6.3.4.1","274","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732345","6.3.3.1","80","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Row","Unadjusted","Units","300","units","0","v732356","6.3.5.1","22","","","","0"
"1971-07","New Brunswick","2016A000213","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732367","6.3.6.1","172","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Total units","Unadjusted","Units","300","units","0","v730422","7.1.1.1","13010","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730433","7.1.1.2","49.0","","","t","1"
"1971-07","Quebec","2016A000224","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730448","7.1.2.1","5690","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730492","7.1.4.1","7320","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730459","7.1.3.1","506","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Row","Unadjusted","Units","300","units","0","v730470","7.1.5.1","219","","","","0"
"1971-07","Quebec","2016A000224","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730481","7.1.6.1","6595","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731387","7.2.1.1","31308","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731398","7.2.2.1","7945","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731442","7.2.4.1","23363","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731409","7.2.3.1","960","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Row","Unadjusted","Units","300","units","0","v731420","7.2.5.1","1411","","","","0"
"1971-07","Quebec","2016A000224","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731431","7.2.6.1","20992","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Total units","Unadjusted","Units","300","units","0","v732324","7.3.1.1","11959","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732335","7.3.2.1","5240","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732379","7.3.4.1","6719","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732346","7.3.3.1","650","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Row","Unadjusted","Units","300","units","0","v732357","7.3.5.1","511","","","","0"
"1971-07","Quebec","2016A000224","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732368","7.3.6.1","5558","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Total units","Unadjusted","Units","300","units","0","v730423","8.1.1.1","28422","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730434","8.1.1.2","96.6","","","t","1"
"1971-07","Ontario","2016A000235","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730449","8.1.2.1","10008","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730493","8.1.4.1","18414","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730460","8.1.3.1","2420","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Row","Unadjusted","Units","300","units","0","v730471","8.1.5.1","2345","","","","0"
"1971-07","Ontario","2016A000235","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730482","8.1.6.1","13649","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731388","8.2.1.1","79558","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731399","8.2.2.1","14956","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731443","8.2.4.1","64602","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731410","8.2.3.1","4303","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Row","Unadjusted","Units","300","units","0","v731421","8.2.5.1","6338","","","","0"
"1971-07","Ontario","2016A000235","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731432","8.2.6.1","53961","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Total units","Unadjusted","Units","300","units","0","v732325","8.3.1.1","21698","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732336","8.3.2.1","8222","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732380","8.3.4.1","13476","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732347","8.3.3.1","1875","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Row","Unadjusted","Units","300","units","0","v732358","8.3.5.1","2571","","","","0"
"1971-07","Ontario","2016A000235","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732369","8.3.6.1","9030","","","","0"
"1971-07","Prairie provinces","2016A00014","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730435","9.1.1.2","44.7","","","t","1"
"1971-07","Manitoba","2016A000246","Housing starts","Total units","Unadjusted","Units","300","units","0","v730424","10.1.1.1","3285","","","","0"
"1971-07","Manitoba","2016A000246","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730436","10.1.1.2","11.2","","","t","1"
"1971-07","Manitoba","2016A000246","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730450","10.1.2.1","1299","","","","0"
"1971-07","Manitoba","2016A000246","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730494","10.1.4.1","1986","","","","0"
"1971-07","Manitoba","2016A000246","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730461","10.1.3.1","286","","","","0"
"1971-07","Manitoba","2016A000246","Housing starts","Row","Unadjusted","Units","300","units","0","v730472","10.1.5.1","293","","","","0"
"1971-07","Manitoba","2016A000246","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730483","10.1.6.1","1407","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731389","10.2.1.1","7687","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731400","10.2.2.1","1892","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731444","10.2.4.1","5795","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731411","10.2.3.1","516","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Row","Unadjusted","Units","300","units","0","v731422","10.2.5.1","752","","","","0"
"1971-07","Manitoba","2016A000246","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731433","10.2.6.1","4527","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Total units","Unadjusted","Units","300","units","0","v732326","10.3.1.1","2413","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732337","10.3.2.1","805","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732381","10.3.4.1","1608","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732348","10.3.3.1","256","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Row","Unadjusted","Units","300","units","0","v732359","10.3.5.1","339","","","","0"
"1971-07","Manitoba","2016A000246","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732370","10.3.6.1","1013","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Total units","Unadjusted","Units","300","units","0","v730425","11.1.1.1","1184","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730437","11.1.1.2","3.8","","","t","1"
"1971-07","Saskatchewan","2016A000247","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730451","11.1.2.1","999","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730495","11.1.4.1","185","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730462","11.1.3.1","19","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Row","Unadjusted","Units","300","units","0","v730473","11.1.5.1","11","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730484","11.1.6.1","155","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731390","11.2.1.1","1690","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731401","11.2.2.1","1320","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731445","11.2.4.1","370","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731412","11.2.3.1","19","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Row","Unadjusted","Units","300","units","0","v731423","11.2.5.1","76","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731434","11.2.6.1","275","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Total units","Unadjusted","Units","300","units","0","v732327","11.3.1.1","650","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732338","11.3.2.1","592","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732382","11.3.4.1","58","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732349","11.3.3.1","22","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Row","Unadjusted","Units","300","units","0","v732360","11.3.5.1","24","","","","0"
"1971-07","Saskatchewan","2016A000247","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732371","11.3.6.1","12","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Total units","Unadjusted","Units","300","units","0","v730426","12.1.1.1","8211","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730438","12.1.1.2","29.6","","","t","1"
"1971-07","Alberta","2016A000248","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730452","12.1.2.1","2951","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730496","12.1.4.1","5260","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730463","12.1.3.1","248","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Row","Unadjusted","Units","300","units","0","v730474","12.1.5.1","782","","","","0"
"1971-07","Alberta","2016A000248","Housing starts","Apartment and other unit type","Unadjusted","Units","300","units","0","v730485","12.1.6.1","4230","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731391","12.2.1.1","15932","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Single-detached","Unadjusted","Units","300","units","0","v731402","12.2.2.1","4161","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Multiples","Unadjusted","Units","300","units","0","v731446","12.2.4.1","11771","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Semi-detached","Unadjusted","Units","300","units","0","v731413","12.2.3.1","508","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Row","Unadjusted","Units","300","units","0","v731424","12.2.5.1","2128","","","","0"
"1971-07","Alberta","2016A000248","Housing under construction","Apartment and other unit type","Unadjusted","Units","300","units","0","v731435","12.2.6.1","9135","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Total units","Unadjusted","Units","300","units","0","v732328","12.3.1.1","6390","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Single-detached","Unadjusted","Units","300","units","0","v732339","12.3.2.1","2681","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Multiples","Unadjusted","Units","300","units","0","v732383","12.3.4.1","3709","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Semi-detached","Unadjusted","Units","300","units","0","v732350","12.3.3.1","331","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Row","Unadjusted","Units","300","units","0","v732361","12.3.5.1","756","","","","0"
"1971-07","Alberta","2016A000248","Housing completions","Apartment and other unit type","Unadjusted","Units","300","units","0","v732372","12.3.6.1","2622","","","","0"
"1971-07","British Columbia","2016A000259","Housing starts","Total units","Unadjusted","Units","300","units","0","v730418","13.1.1.1","10363","","","","0"
"1971-07","British Columbia","2016A000259","Housing starts","Total units","Seasonally adjusted at annual rates","Units","300","thousands","3","v730439","13.1.1.2","37.0","","","t","1"
"1971-07","British Columbia","2016A000259","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730444","13.1.2.1","5557","","","","0"
"1971-07","British Columbia","2016A000259","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730488","13.1.4.1","4806","","","","0"
